fecha,año,mes,ciudad,zona,precipitacion_mm,temp_max,temp_min,humedad,viento_10m,presion,temp_media,rango_termico,indice_calor_aprox,evento_lluvia,humedad_alta,estacion,condicion_climatica
1981-03-24,1981,marzo,Medellín,urbana,3.62,22.24,13.33,87.1,0.79,81.66,17.785,8.909999999999998,41.975,True,True,seca_principal,lluvioso
1981-03-25,1981,marzo,Sabaneta,suburbana,3.08,20.79,14.26,89.5,0.57,81.65,17.525,6.529999999999999,42.661,True,True,seca_principal,lluvioso
1981-03-26,1981,marzo,Envigado,mixta,0.8,21.52,14.89,86.74,0.47,81.75,18.205,6.629999999999999,42.5002,True,True,seca_principal,lluvioso
1981-03-27,1981,marzo,Envigado,mixta,9.04,23.66,12.68,86.85,1.02,81.64,18.17,10.98,42.1165,True,True,seca_principal,lluvioso
1981-03-28,1981,marzo,Medellín,urbana,5.22,23.68,13.38,82.31,0.89,81.56,18.53,10.3,41.06930000000001,True,False,seca_principal,lluvioso
1981-03-29,1981,marzo,Bello,montañosa,4.01,23.32,13.97,85.47,0.68,81.57,18.645,9.35,42.3741,True,True,seca_principal,lluvioso
1981-03-30,1981,marzo,Envigado,mixta,1.84,23.25,13.64,85.75,0.84,81.62,18.445,9.61,42.15450000000001,True,True,seca_principal,lluvioso
1981-03-31,1981,marzo,Sabaneta,suburbana,2.29,22.02,13.48,86.31,1.07,81.68,17.75,8.54,41.4833,True,True,seca_principal,lluvioso
1981-04-01,1981,abril,Itagüí,urbana,4.95,23.74,13.75,85.01,1.08,81.62,18.745,9.989999999999998,42.0423,True,True,lluviosa,lluvioso
1981-04-02,1981,abril,Sabaneta,suburbana,6.67,23.84,14.6,88.4,0.88,81.48,19.22,9.24,43.776,True,True,lluviosa,lluvioso
1981-04-03,1981,abril,Sabaneta,suburbana,9.45,23.12,14.76,88.14,0.7,81.4,18.94,8.360000000000001,43.5362,True,True,lluviosa,lluvioso
1981-04-04,1981,abril,Bello,montañosa,8.32,21.22,13.12,91.38,0.69,81.44,17.17,8.1,42.8424,True,True,lluviosa,lluvioso
1981-04-05,1981,abril,Sabaneta,suburbana,11.04,19.31,12.91,87.91,0.61,81.52,16.11,6.399999999999999,40.6933,True,True,lluviosa,lluvioso
1981-04-06,1981,abril,Bello,montañosa,14.9,22.1,13.24,87.0,0.6,81.45,17.67,8.860000000000001,41.96,True,True,lluviosa,lluvioso
1981-04-07,1981,abril,Bello,montañosa,4.71,22.66,14.91,89.93,0.78,81.37,18.785,7.75,43.9159,True,True,lluviosa,lluvioso
1981-04-08,1981,abril,Envigado,mixta,4.56,21.92,14.89,90.9,0.87,81.39,18.405,7.030000000000001,43.793,True,True,lluviosa,lluvioso
1981-04-09,1981,abril,Envigado,mixta,0.56,23.08,14.59,88.13,0.8,81.48,18.835,8.489999999999998,43.3579,True,True,lluviosa,lluvioso
1981-04-10,1981,abril,Medellín,urbana,10.76,21.57,14.19,90.58,0.95,81.45,17.88,7.380000000000001,43.1064,True,True,lluviosa,lluvioso
1981-04-11,1981,abril,Sabaneta,suburbana,12.81,22.69,14.91,89.13,0.56,81.42,18.8,7.780000000000001,43.8209,True,True,lluviosa,lluvioso
1981-04-12,1981,abril,Medellín,urbana,11.7,19.81,15.98,95.28,0.58,81.39,17.895,3.829999999999998,44.9314,True,True,lluviosa,lluvioso
1981-04-13,1981,abril,Sabaneta,suburbana,17.03,22.99,14.58,87.2,0.69,81.46,18.785,8.409999999999998,43.07800000000001,True,True,lluviosa,lluvioso
1981-04-14,1981,abril,Medellín,urbana,11.36,18.58,15.17,94.73,0.55,81.53,16.875,3.409999999999998,43.75090000000001,True,True,lluviosa,lluvioso
1981-04-15,1981,abril,Envigado,mixta,5.93,19.43,14.9,92.52,0.7,81.57,17.165,4.529999999999999,43.2066,True,True,lluviosa,lluvioso
1981-04-16,1981,abril,Envigado,mixta,21.13,20.43,14.56,92.85,0.49,81.58,17.495,5.869999999999999,43.7925,True,True,lluviosa,lluvioso
1981-04-17,1981,abril,Envigado,mixta,35.56,20.46,14.84,91.08,0.77,81.6,17.65,5.620000000000001,43.1674,True,True,lluviosa,lluvioso
1981-04-18,1981,abril,Envigado,mixta,23.18,20.17,14.36,91.83,0.49,81.66,17.265,5.810000000000002,43.2259,True,True,lluviosa,lluvioso
1981-04-19,1981,abril,Itagüí,urbana,2.14,19.46,14.32,92.48,0.99,81.66,16.89,5.140000000000001,42.7154,True,True,lluviosa,lluvioso
1981-04-20,1981,abril,Envigado,mixta,2.35,20.13,14.39,89.32,0.47,81.72,17.26,5.739999999999998,42.4066,True,True,lluviosa,lluvioso
1981-04-21,1981,abril,Bello,montañosa,14.12,23.04,14.59,88.5,0.42,81.66,18.815,8.45,43.726,True,True,lluviosa,lluvioso
1981-04-22,1981,abril,Envigado,mixta,15.14,21.98,15.41,89.02,0.44,81.6,18.695,6.57,43.7636,True,True,lluviosa,lluvioso
1981-04-23,1981,abril,Itagüí,urbana,10.5,20.55,15.43,92.8,0.54,81.45,17.99,5.120000000000001,44.236,True,True,lluviosa,lluvioso
1981-04-24,1981,abril,Itagüí,urbana,6.97,21.4,14.73,92.14,0.63,81.37,18.065,6.669999999999998,44.03019999999999,True,True,lluviosa,lluvioso
1981-04-25,1981,abril,Itagüí,urbana,12.47,20.15,15.02,91.86,0.57,81.47,17.585,5.129999999999999,43.4998,True,True,lluviosa,lluvioso
1981-04-26,1981,abril,Itagüí,urbana,24.82,21.13,14.91,92.12,0.63,81.52,18.02,6.219999999999999,43.9786,True,True,lluviosa,lluvioso
1981-04-27,1981,abril,Medellín,urbana,10.45,18.16,14.36,95.44,1.03,81.57,16.26,3.800000000000001,43.03420000000001,True,True,lluviosa,lluvioso
1981-04-28,1981,abril,Medellín,urbana,12.76,21.64,13.51,87.8,0.71,81.58,17.575,8.13,42.052,True,True,lluviosa,lluvioso
1981-04-29,1981,abril,Bello,montañosa,17.22,23.23,14.9,87.35,0.72,81.56,19.065,8.33,43.38650000000001,True,True,lluviosa,lluvioso
1981-04-30,1981,abril,Medellín,urbana,15.33,20.17,15.5,92.45,0.59,81.54,17.835,4.670000000000002,43.93050000000001,True,True,lluviosa,lluvioso
1981-05-01,1981,mayo,Itagüí,urbana,20.92,20.55,14.53,91.35,1.04,81.56,17.54,6.020000000000001,42.9575,True,True,lluviosa,lluvioso
1981-05-02,1981,mayo,Envigado,mixta,16.97,20.02,13.39,91.06,0.79,81.56,16.705,6.629999999999999,42.20180000000001,True,True,lluviosa,lluvioso
1981-05-03,1981,mayo,Envigado,mixta,13.55,17.76,13.7,94.75,0.61,81.62,15.73,4.060000000000002,42.5705,True,True,lluviosa,lluvioso
1981-05-04,1981,mayo,Itagüí,urbana,25.08,21.66,14.29,89.68,0.4,81.61,17.975,7.370000000000001,43.2894,True,True,lluviosa,lluvioso
1981-05-05,1981,mayo,Sabaneta,suburbana,6.24,18.73,14.31,95.2,0.44,81.6,16.52,4.42,43.62800000000001,True,True,lluviosa,lluvioso
1981-05-06,1981,mayo,Itagüí,urbana,11.44,19.79,13.65,91.14,0.61,81.59,16.72,6.139999999999999,42.3692,True,True,lluviosa,lluvioso
1981-05-07,1981,mayo,Medellín,urbana,12.96,18.79,14.71,92.4,0.54,81.64,16.75,4.079999999999998,42.864,True,True,lluviosa,lluvioso
1981-05-08,1981,mayo,Envigado,mixta,4.26,19.89,14.48,92.79,0.47,81.64,17.185,5.41,43.4767,True,True,lluviosa,lluvioso
1981-05-09,1981,mayo,Itagüí,urbana,21.52,18.41,14.96,94.27,0.51,81.65,16.685,3.449999999999999,43.4371,True,True,lluviosa,lluvioso
1981-05-10,1981,mayo,Envigado,mixta,21.97,19.79,14.2,92.32,0.44,81.57,16.995,5.59,43.1526,True,True,lluviosa,lluvioso
1981-05-11,1981,mayo,Itagüí,urbana,8.4,20.18,15.1,92.81,0.55,81.53,17.64,5.08,43.88230000000001,True,True,lluviosa,lluvioso
1981-05-12,1981,mayo,Itagüí,urbana,12.7,18.69,15.11,96.14,0.53,81.55,16.9,3.580000000000002,44.25519999999999,True,True,lluviosa,lluvioso
1981-05-13,1981,mayo,Medellín,urbana,10.7,21.79,14.75,89.65,0.66,81.53,18.27,7.039999999999999,43.3925,True,True,lluviosa,lluvioso
1981-05-14,1981,mayo,Itagüí,urbana,20.05,19.02,14.33,90.81,0.57,81.49,16.675,4.69,42.2433,True,True,lluviosa,lluvioso
1981-05-15,1981,mayo,Envigado,mixta,11.17,18.96,14.09,96.18,0.6,81.45,16.525,4.870000000000001,43.8444,True,True,lluviosa,lluvioso
1981-05-16,1981,mayo,Bello,montañosa,9.55,18.97,15.01,92.92,0.49,81.68,16.99,3.959999999999999,43.31059999999999,True,True,lluviosa,lluvioso
1981-05-17,1981,mayo,Envigado,mixta,6.69,21.0,14.65,91.23,0.61,81.63,17.825,6.35,43.5039,True,True,lluviosa,lluvioso
1981-05-18,1981,mayo,Medellín,urbana,11.61,21.28,15.1,93.02,0.63,81.57,18.19,6.180000000000001,44.4456,True,True,lluviosa,lluvioso
1981-05-19,1981,mayo,Bello,montañosa,2.1,21.07,15.33,91.42,0.73,81.58,18.2,5.74,43.8576,True,True,lluviosa,lluvioso
1981-05-20,1981,mayo,Itagüí,urbana,5.98,23.5,15.44,88.9,0.86,81.6,19.47,8.06,44.20500000000001,True,True,lluviosa,lluvioso
1981-05-21,1981,mayo,Sabaneta,suburbana,13.6,22.65,15.79,89.65,0.86,81.62,19.22,6.859999999999999,44.20250000000001,True,True,lluviosa,lluvioso
1981-05-22,1981,mayo,Bello,montañosa,19.36,22.58,15.86,90.12,0.59,81.62,19.22,6.719999999999999,44.54660000000001,True,True,lluviosa,lluvioso
1981-05-23,1981,mayo,Bello,montañosa,23.78,19.51,16.17,94.1,0.69,81.63,17.84,3.34,44.41,True,True,lluviosa,lluvioso
1981-05-24,1981,mayo,Itagüí,urbana,11.83,18.55,15.21,96.42,0.78,81.67,16.88,3.34,44.15260000000001,True,True,lluviosa,lluvioso
1981-05-25,1981,mayo,Sabaneta,suburbana,12.76,19.27,16.01,95.36,0.49,81.66,17.64,3.259999999999998,44.7658,True,True,lluviosa,lluvioso
1981-05-26,1981,mayo,Sabaneta,suburbana,7.95,20.09,14.9,92.93,0.58,81.68,17.495,5.19,43.7559,True,True,lluviosa,lluvioso
1981-05-27,1981,mayo,Medellín,urbana,9.89,21.96,14.57,90.3,0.61,81.65,18.265,7.390000000000001,43.637,True,True,lluviosa,lluvioso
1981-05-28,1981,mayo,Bello,montañosa,21.48,18.88,15.31,96.09,0.56,81.63,17.095,3.569999999999999,44.41269999999999,True,True,lluviosa,lluvioso
1981-05-29,1981,mayo,Sabaneta,suburbana,13.75,19.74,15.03,94.76,0.7,81.62,17.385,4.709999999999999,44.1658,True,True,lluviosa,lluvioso
1981-05-30,1981,mayo,Medellín,urbana,9.93,18.5,15.0,97.54,0.52,81.56,16.75,3.5,44.5742,True,True,lluviosa,lluvioso
1981-05-31,1981,mayo,Sabaneta,suburbana,17.18,19.36,14.66,94.58,0.79,81.57,17.01,4.699999999999999,43.66840000000001,True,True,lluviosa,lluvioso
1981-06-01,1981,junio,Bello,montañosa,6.47,18.82,13.91,95.6,0.57,81.62,16.365,4.91,43.514,True,True,seca_principal,lluvioso
1981-06-02,1981,junio,Sabaneta,suburbana,10.34,17.92,14.31,93.46,0.58,81.62,16.115,3.610000000000001,42.5508,True,True,seca_principal,lluvioso
1981-06-03,1981,junio,Bello,montañosa,4.01,20.99,13.85,90.88,0.63,81.61,17.42,7.139999999999999,42.96939999999999,True,True,seca_principal,lluvioso
1981-06-04,1981,junio,Itagüí,urbana,5.26,22.59,14.78,89.96,0.76,81.56,18.685,7.81,43.8398,True,True,seca_principal,lluvioso
1981-06-05,1981,junio,Envigado,mixta,9.45,22.71,15.53,87.89,0.71,81.54,19.12,7.180000000000001,43.6267,True,True,seca_principal,lluvioso
1981-06-06,1981,junio,Medellín,urbana,16.2,20.4,15.22,94.36,0.8,81.53,17.81,5.179999999999998,44.3888,True,True,seca_principal,lluvioso
1981-06-07,1981,junio,Itagüí,urbana,33.72,18.92,15.11,96.12,0.62,81.61,17.015,3.810000000000002,44.3006,True,True,seca_principal,lluvioso
1981-06-08,1981,junio,Itagüí,urbana,24.16,19.53,14.13,93.91,0.48,81.69,16.83,5.4,43.4843,True,True,seca_principal,lluvioso
1981-06-09,1981,junio,Envigado,mixta,6.29,21.79,15.13,90.35,0.75,81.72,18.46,6.659999999999998,43.7505,True,True,seca_principal,lluvioso
1981-06-10,1981,junio,Sabaneta,suburbana,7.7,20.33,15.22,92.45,0.45,81.73,17.775,5.109999999999998,43.96850000000001,True,True,seca_principal,lluvioso
1981-06-11,1981,junio,Envigado,mixta,14.14,21.97,14.58,89.8,0.74,81.68,18.275,7.389999999999999,43.391,True,True,seca_principal,lluvioso
1981-06-12,1981,junio,Itagüí,urbana,15.56,19.8,15.17,91.89,0.84,81.66,17.485,4.630000000000001,43.2207,True,True,seca_principal,lluvioso
1981-06-13,1981,junio,Itagüí,urbana,8.24,20.62,14.58,91.31,0.77,81.66,17.6,6.040000000000001,43.1933,True,True,seca_principal,lluvioso
1981-06-14,1981,junio,Itagüí,urbana,13.8,20.97,14.18,90.21,0.89,81.67,17.575,6.789999999999999,42.7213,True,True,seca_principal,lluvioso
1981-06-15,1981,junio,Sabaneta,suburbana,14.75,21.44,15.13,88.97,0.55,81.62,18.285,6.31,43.2601,True,True,seca_principal,lluvioso
1981-06-16,1981,junio,Bello,montañosa,14.94,19.44,14.39,94.57,0.94,81.58,16.915,5.050000000000001,43.46509999999999,True,True,seca_principal,lluvioso
1981-06-17,1981,junio,Medellín,urbana,21.2,18.19,14.86,96.35,0.46,81.62,16.525,3.330000000000002,43.99849999999999,True,True,seca_principal,lluvioso
1981-06-18,1981,junio,Bello,montañosa,5.88,19.84,14.58,92.17,0.48,81.69,17.21,5.26,43.29010000000001,True,True,seca_principal,lluvioso
1981-06-19,1981,junio,Medellín,urbana,7.69,21.44,14.22,90.81,0.65,81.7,17.83,7.220000000000001,43.34230000000001,True,True,seca_principal,lluvioso
1981-06-20,1981,junio,Medellín,urbana,2.97,21.58,15.13,89.73,0.7,81.78,18.355,6.449999999999998,43.4759,True,True,seca_principal,lluvioso
1981-06-21,1981,junio,Medellín,urbana,13.63,22.1,14.87,88.98,0.67,81.75,18.485,7.230000000000002,43.3794,True,True,seca_principal,lluvioso
1981-06-22,1981,junio,Envigado,mixta,15.28,20.21,15.42,91.77,0.74,81.62,17.815,4.790000000000001,43.5811,True,True,seca_principal,lluvioso
1981-06-23,1981,junio,Envigado,mixta,4.53,19.67,14.46,92.48,0.67,81.59,17.065,5.210000000000001,43.1144,True,True,seca_principal,lluvioso
1981-06-24,1981,junio,Envigado,mixta,2.87,18.35,14.16,92.34,0.72,81.65,16.255,4.190000000000001,42.22320000000001,True,True,seca_principal,lluvioso
1981-06-25,1981,junio,Itagüí,urbana,3.47,19.46,14.1,91.34,0.81,81.66,16.78,5.360000000000001,42.3552,True,True,seca_principal,lluvioso
